ID,Event,Link,Location,Date,Prize
7148,PGL CS2 Major Copenhagen 2024,https://www.hltv.org/events/7148/pgl-cs2-major-copenhagen-2024,"Copenhagen, Denmark",Mar 21st - Mar 31st,"$1,250,000"
6793,BLAST.tv Paris Major 2023,https://www.hltv.org/events/6793/blasttv-paris-major-2023,"Paris, France",May 13th - May 21st,"$1,250,000"
6586,IEM Rio Major 2022,https://www.hltv.org/events/6586/iem-rio-major-2022,"Rio de Janeiro, Brazil",Nov 5th - Nov 13th,"$1,250,000"
6372,PGL Major Antwerp 2022,https://www.hltv.org/events/6372/pgl-major-antwerp-2022,"Antwerp, Belgium",May 14th - May 22nd,"$1,000,000"
4866,PGL Major Stockholm 2021,https://www.hltv.org/events/4866/pgl-major-stockholm-2021,"Stockholm, Sweden",Oct 30th - Nov 7th,"$2,000,000"
4443,StarLadder Major Berlin 2019,https://www.hltv.org/events/4443/starladder-major-berlin-2019,"Berlin, Germany",Aug 28th - Sep 8th,"$1,000,000"
3883,IEM Katowice 2019,https://www.hltv.org/events/3883/iem-katowice-2019,"Katowice, Poland",Feb 20th - Mar 3rd,"$1,000,000"
3564,FACEIT Major 2018,https://www.hltv.org/events/3564/faceit-major-2018,"London, United Kingdom",Sep 12th - Sep 23rd,"$1,000,000"
3247,ELEAGUE Major 2018,https://www.hltv.org/events/3247/eleague-major-2018,"Atlanta & Boston, United States",Jan 19th - Jan 28th,"$1,000,000"
2720,PGL Major Krakow 2017,https://www.hltv.org/events/2720/pgl-major-krakow-2017,"Krakow, Poland",Jul 16th - Jul 23rd,"$1,000,000"
2471,ELEAGUE Major 2017,https://www.hltv.org/events/2471/eleague-major-2017,"Atlanta, Georgia, USA",Jan 22nd - Jan 29th,"$1,000,000"
2062,ESL One Cologne 2016,https://www.hltv.org/events/2062/esl-one-cologne-2016,"Cologne, Germany",Jul 5th - Jul 10th,"$1,000,000"
2027,MLG Columbus 2016,https://www.hltv.org/events/2027/mlg-columbus-2016,"Columbus, Ohio, USA",Mar 29th - Apr 3rd,"$1,000,000"
1617,DreamHack Open Cluj-Napoca 2015,https://www.hltv.org/events/1617/dreamhack-open-cluj-napoca-2015,"Cluj-Napoca, Romania",Oct 28th - Nov 1st,"$250,000"
1666,ESL One Cologne 2015,https://www.hltv.org/events/1666/esl-one-cologne-2015,"Cologne, Germany",Aug 20th - Aug 23rd,"$250,000"
1611,ESL One Katowice 2015,https://www.hltv.org/events/1611/esl-one-katowice-2015,"Katowice, Poland",Mar 12th - Mar 15th,"$250,000"
1553,DreamHack Winter 2014,https://www.hltv.org/events/1553/dreamhack-winter-2014,"Jönköping, Sweden",Nov 27th - Nov 29th,"$250,000"
1444,ESL One Cologne 2014,https://www.hltv.org/events/1444/esl-one-cologne-2014,"Cologne, Germany",Aug 14th - Aug 17th,"$250,000"
1333,EMS One Katowice 2014,https://www.hltv.org/events/1333/ems-one-katowice-2014,"Katowice, Poland",Mar 13th - Mar 16th,"$250,000"
1270,DreamHack Winter 2013,https://www.hltv.org/events/1270/dreamhack-winter-2013,"Jönköping, Sweden",Nov 28th - Nov 30th,"$250,000"
