Event ID,Player,Teams,Maps,Rounds,K-D Diff,K/D,Rating2.0,Rating1.0
7148,m0NESY,G2,14,314,95,1.55,1.37,
7148,donk,Spirit,8,191,43,1.33,1.35,
7148,Brollan,MOUZ,6,118,18,1.23,1.3,
7148,torzsi,MOUZ,6,118,24,1.34,1.27,
7148,Ax1Le,Cloud9,8,158,23,1.22,1.27,
7148,XANTARES,Eternal Fire,8,170,19,1.18,1.25,
7148,jL,Natus Vincere,18,404,60,1.23,1.22,
7148,Jimpphat,MOUZ,6,118,19,1.27,1.21,
7148,broky,FaZe,17,355,56,1.27,1.21,
7148,sh1ro,Spirit,8,191,36,1.35,1.19,
7148,MAJ3R,Eternal Fire,8,170,22,1.22,1.17,
7148,frozen,FaZe,17,355,26,1.11,1.17,
7148,Jame,Virtus.pro,9,191,34,1.32,1.16,
7148,Spinx,Vitality,11,240,19,1.12,1.16,
7148,flameZ,Vitality,11,240,12,1.08,1.16,
7148,electroNic,Cloud9,8,158,7,1.07,1.15,
7148,biguzera,paiN,9,216,-1,0.99,1.15,
7148,ZywOo,Vitality,11,240,13,1.09,1.14,
7148,n0rb3r7,Virtus.pro,9,191,1,1.01,1.13,
7148,NiKo,G2,14,314,14,1.07,1.11,
7148,hallzerk,Complexity,9,203,6,1.04,1.11,
7148,w0nderful,Natus Vincere,18,404,45,1.18,1.11,
7148,xertioN,MOUZ,6,118,4,1.05,1.1,
7148,Wicadia,Eternal Fire,8,170,11,1.1,1.1,
7148,HObbit,Cloud9,8,158,0,1.0,1.09,
7148,KSCERATO,FURIA,5,106,4,1.06,1.08,
7148,nicoodoz,HEROIC,5,119,1,1.01,1.08,
7148,bLitz,TheMongolz,5,131,-9,0.91,1.08,
7148,huNter-,G2,14,314,10,1.05,1.07,
7148,b1t,Natus Vincere,18,404,1,1.0,1.07,
7148,zont1x,Spirit,8,191,0,1.0,1.06,
7148,Perfecto,Cloud9,8,158,6,1.07,1.06,
7148,EliGE,Complexity,9,203,-10,0.93,1.05,
7148,nexa,G2,14,314,18,1.1,1.05,
7148,ropz,FaZe,17,355,23,1.11,1.05,
7148,mir,Virtus.pro,9,191,-1,0.99,1.04,
7148,Patti,ECSTATIC,8,175,-15,0.88,1.04,
7148,woxic,Eternal Fire,8,170,-1,0.99,1.03,
7148,mezii,Vitality,11,240,-5,0.97,1.03,
7148,FL1T,Virtus.pro,9,191,-18,0.86,1.03,
7148,n1ssim,paiN,9,216,-1,0.99,1.03,
7148,magixx,Spirit,8,191,-4,0.97,1.02,
7148,Boombl4,Cloud9,8,158,3,1.03,1.02,
7148,sjuush,HEROIC,5,119,-7,0.92,1.02,
7148,lux,paiN,9,216,-21,0.86,1.02,
7148,kraghen,ECSTATIC,8,175,-14,0.89,1.02,
7148,910,TheMongolz,5,131,5,1.06,1.01,
7148,decenty,Imperial,6,119,-3,0.96,1.0,
7148,chopper,Spirit,8,191,-16,0.88,1.0,
7148,Senzu,TheMongolz,5,131,-13,0.86,0.99,
7148,Queenix,ECSTATIC,8,175,0,1.0,0.99,
7148,HEN1,Imperial,6,119,-4,0.95,0.98,
7148,fame,Virtus.pro,9,191,-19,0.85,0.98,
7148,rain,FaZe,17,355,-39,0.85,0.98,
7148,Grim,Complexity,9,203,-15,0.9,0.98,
7148,Calyx,Eternal Fire,8,170,-2,0.98,0.98,
7148,Techno,TheMongolz,5,131,-7,0.92,0.98,
7148,VINI,Imperial,6,119,-14,0.84,0.97,
7148,apEX,Vitality,11,240,-21,0.87,0.97,
7148,yuurih,FURIA,5,106,-9,0.88,0.97,
7148,karrigan,FaZe,17,355,-40,0.84,0.96,
7148,JT,Complexity,9,203,-20,0.87,0.96,
7148,HooXi,G2,14,314,-30,0.86,0.96,
7148,kyxsan,HEROIC,5,119,-9,0.89,0.95,
7148,FalleN,FURIA,5,106,-5,0.93,0.95,
7148,nqz,paiN,9,216,-3,0.98,0.95,
7148,Nodios,ECSTATIC,8,175,-19,0.84,0.94,
7148,mzinho,TheMongolz,5,131,-19,0.8,0.93,
7148,kauez,paiN,9,216,-22,0.87,0.92,
7148,TeSeS,HEROIC,5,119,-14,0.84,0.91,
7148,iM,Natus Vincere,18,404,-68,0.77,0.88,
7148,NertZ,HEROIC,5,119,-15,0.81,0.88,
7148,floppy,Complexity,9,203,-30,0.79,0.88,
